scenario_id,scenario_type,risk_priority,bank_line_id,gateway_tx_id,erp_entry_id,invoice_id,expected_status,variance_cents,explanation
SCEN-EX-001,EXACT_MATCH,P4_NORMAL,BNK-0001,GTW-0001,GL-00001,,MATCHED,0,"1:1 clean parity across Gateway ($3,502.43), Bank deposit, and ERP Cash receipt for Acme Corp."
SCEN-EX-002,EXACT_MATCH,P4_NORMAL,BNK-0002,GTW-0002,GL-00002,,MATCHED,0,"1:1 clean parity across Gateway ($281.12), Bank deposit, and ERP Cash receipt for Globex Global."
SCEN-EX-003,EXACT_MATCH,P4_NORMAL,BNK-0003,GTW-0003,GL-00003,,MATCHED,0,"1:1 clean parity across Gateway ($1,591.94), Bank deposit, and ERP Cash receipt for Initech LLC."
SCEN-EX-004,EXACT_MATCH,P4_NORMAL,BNK-0004,GTW-0004,GL-00004,,MATCHED,0,"1:1 clean parity across Gateway ($1,320.26), Bank deposit, and ERP Cash receipt for Umbrella Enterprises."
SCEN-EX-005,EXACT_MATCH,P4_NORMAL,BNK-0005,GTW-0005,GL-00005,,MATCHED,0,"1:1 clean parity across Gateway ($4,011.23), Bank deposit, and ERP Cash receipt for Hooli Cloud."
SCEN-EX-006,EXACT_MATCH,P4_NORMAL,BNK-0006,GTW-0006,GL-00006,,MATCHED,0,"1:1 clean parity across Gateway ($3,697.85), Bank deposit, and ERP Cash receipt for Stark Industries."
SCEN-EX-007,EXACT_MATCH,P4_NORMAL,BNK-0007,GTW-0007,GL-00007,,MATCHED,0,"1:1 clean parity across Gateway ($3,009.29), Bank deposit, and ERP Cash receipt for Wayne Logistics."
SCEN-EX-008,EXACT_MATCH,P4_NORMAL,BNK-0008,GTW-0008,GL-00008,,MATCHED,0,"1:1 clean parity across Gateway ($3,245.88), Bank deposit, and ERP Cash receipt for Cyberdyne Systems."
SCEN-EX-009,EXACT_MATCH,P4_NORMAL,BNK-0009,GTW-0009,GL-00009,,MATCHED,0,"1:1 clean parity across Gateway ($316.63), Bank deposit, and ERP Cash receipt for Soylent Corp."
SCEN-EX-010,EXACT_MATCH,P4_NORMAL,BNK-0010,GTW-0010,GL-00010,,MATCHED,0,"1:1 clean parity across Gateway ($641.23), Bank deposit, and ERP Cash receipt for Massive Dynamic."
