id,invoice_id,gl_account_code,amount_cents,customer_vendor_name,entry_date,doc_type
GL-00001,ORD-EXACT-1000,1010-CASH,685487,Acme Corp,2026-08-05,PAYMENT
GL-00002,ORD-EXACT-1001,1010-CASH,41225,Globex Global,2026-08-25,PAYMENT
GL-00003,ORD-EXACT-1002,1010-CASH,303389,Initech LLC,2026-08-09,PAYMENT
GL-00004,ORD-EXACT-1003,1010-CASH,249053,Umbrella Enterprises,2026-08-06,PAYMENT
GL-00005,ORD-EXACT-1004,1010-CASH,787246,Hooli Cloud,2026-08-05,PAYMENT
GL-00006,ORD-EXACT-1005,1010-CASH,724570,Stark Industries,2026-08-25,PAYMENT
GL-00007,ORD-EXACT-1006,1010-CASH,586858,Wayne Logistics,2026-08-04,PAYMENT
GL-00008,ORD-EXACT-1007,1010-CASH,634176,Cyberdyne Systems,2026-08-15,PAYMENT
GL-00009,ORD-EXACT-1008,1010-CASH,48326,Soylent Corp,2026-08-02,PAYMENT
GL-00010,ORD-EXACT-1009,1010-CASH,113246,Massive Dynamic,2026-08-08,PAYMENT
GL-00011,ORD-EXACT-1010,1010-CASH,258962,Pied Piper,2026-08-18,PAYMENT
GL-00012,ORD-EXACT-1011,1010-CASH,646262,Dunder Mifflin,2026-08-02,PAYMENT
GL-00013,ORD-EXACT-1012,1010-CASH,603508,Wonka Confections,2026-08-08,PAYMENT
GL-00014,ORD-EXACT-1013,1010-CASH,765800,Bluth Development,2026-08-22,PAYMENT
GL-00015,ORD-EXACT-1014,1010-CASH,750392,Aperture Science,2026-08-19,PAYMENT
GL-00016,ORD-EXACT-1015,1010-CASH,454898,Tyrell Corp,2026-08-09,PAYMENT
GL-00017,ORD-EXACT-1016,1010-CASH,486029,Oscorp Tech,2026-08-20,PAYMENT
GL-00018,ORD-EXACT-1017,1010-CASH,306704,Starlight Media,2026-08-02,PAYMENT
GL-00019,ORD-EXACT-1018,1010-CASH,810667,Vandelay Industries,2026-08-07,PAYMENT
GL-00020,ORD-EXACT-1019,1010-CASH,747052,Gekko & Co,2026-08-15,PAYMENT
GL-00021,ORD-EXACT-1020,1010-CASH,371778,Oceanic Airlines,2026-08-10,PAYMENT
GL-00022,ORD-EXACT-1021,1010-CASH,178032,Sterling Cooper,2026-08-08,PAYMENT
GL-00023,ORD-EXACT-1022,1010-CASH,815581,Prestige Worldwide,2026-08-12,PAYMENT
GL-00024,ORD-EXACT-1023,1010-CASH,122175,Weyland Yutani,2026-08-04,PAYMENT
GL-00025,ORD-EXACT-1024,1010-CASH,413382,Buy N Large,2026-08-05,PAYMENT
GL-00026,ORD-EXACT-1025,1010-CASH,391417,Acme Corp,2026-08-13,PAYMENT
GL-00027,ORD-EXACT-1026,1010-CASH,648052,Globex Global,2026-08-10,PAYMENT
GL-00028,ORD-EXACT-1027,1010-CASH,60561,Initech LLC,2026-08-25,PAYMENT
GL-00029,ORD-EXACT-1028,1010-CASH,496741,Umbrella Enterprises,2026-08-19,PAYMENT
GL-00030,ORD-EXACT-1029,1010-CASH,145889,Hooli Cloud,2026-08-14,PAYMENT
GL-00031,ORD-EXACT-1030,1010-CASH,97627,Stark Industries,2026-08-19,PAYMENT
GL-00032,ORD-EXACT-1031,1010-CASH,322419,Wayne Logistics,2026-08-22,PAYMENT
GL-00033,ORD-EXACT-1032,1010-CASH,663564,Cyberdyne Systems,2026-08-13,PAYMENT
GL-00034,ORD-EXACT-1033,1010-CASH,620397,Soylent Corp,2026-08-08,PAYMENT
GL-00035,ORD-EXACT-1034,1010-CASH,753797,Massive Dynamic,2026-08-04,PAYMENT
GL-00036,ORD-EXACT-1035,1010-CASH,63050,Pied Piper,2026-08-23,PAYMENT
GL-00037,ORD-EXACT-1036,1010-CASH,253968,Dunder Mifflin,2026-08-26,PAYMENT
GL-00038,ORD-EXACT-1037,1010-CASH,318445,Wonka Confections,2026-08-04,PAYMENT
GL-00039,ORD-EXACT-1038,1010-CASH,259098,Bluth Development,2026-08-05,PAYMENT
GL-00040,ORD-EXACT-1039,1010-CASH,413591,Aperture Science,2026-08-10,PAYMENT
GL-00041,ORD-EXACT-1040,1010-CASH,490435,Tyrell Corp,2026-08-22,PAYMENT
GL-00042,ORD-EXACT-1041,1010-CASH,397554,Oscorp Tech,2026-08-07,PAYMENT
GL-00043,ORD-EXACT-1042,1010-CASH,403162,Starlight Media,2026-08-13,PAYMENT
GL-00044,ORD-EXACT-1043,1010-CASH,234684,Vandelay Industries,2026-08-23,PAYMENT
GL-00045,ORD-EXACT-1044,1010-CASH,294946,Gekko & Co,2026-08-24,PAYMENT
