id,order_id,gross_amount_cents,fee_cents,tax_cents,net_amount_cents,payout_batch_id,status,created_date,settled_date
GTW-0001,ORD-EXACT-1000,685487,0,0,685487,batch_direct_001,succeeded,,
GTW-0002,ORD-EXACT-1001,41225,0,0,41225,batch_direct_002,succeeded,,
GTW-0003,ORD-EXACT-1002,303389,0,0,303389,batch_direct_003,succeeded,,
GTW-0004,ORD-EXACT-1003,249053,0,0,249053,batch_direct_004,succeeded,,
GTW-0005,ORD-EXACT-1004,787246,0,0,787246,batch_direct_005,succeeded,,
GTW-0006,ORD-EXACT-1005,724570,0,0,724570,batch_direct_006,succeeded,,
GTW-0007,ORD-EXACT-1006,586858,0,0,586858,batch_direct_007,succeeded,,
GTW-0008,ORD-EXACT-1007,634176,0,0,634176,batch_direct_008,succeeded,,
GTW-0009,ORD-EXACT-1008,48326,0,0,48326,batch_direct_009,succeeded,,
GTW-0010,ORD-EXACT-1009,113246,0,0,113246,batch_direct_010,succeeded,,
GTW-0011,ORD-EXACT-1010,258962,0,0,258962,batch_direct_011,succeeded,,
GTW-0012,ORD-EXACT-1011,646262,0,0,646262,batch_direct_012,succeeded,,
GTW-0013,ORD-EXACT-1012,603508,0,0,603508,batch_direct_013,succeeded,,
GTW-0014,ORD-EXACT-1013,765800,0,0,765800,batch_direct_014,succeeded,,
GTW-0015,ORD-EXACT-1014,750392,0,0,750392,batch_direct_015,succeeded,,
GTW-0016,ORD-EXACT-1015,454898,0,0,454898,batch_direct_016,succeeded,,
GTW-0017,ORD-EXACT-1016,486029,0,0,486029,batch_direct_017,succeeded,,
GTW-0018,ORD-EXACT-1017,306704,0,0,306704,batch_direct_018,succeeded,,
GTW-0019,ORD-EXACT-1018,810667,0,0,810667,batch_direct_019,succeeded,,
GTW-0020,ORD-EXACT-1019,747052,0,0,747052,batch_direct_020,succeeded,,
GTW-0021,ORD-EXACT-1020,371778,0,0,371778,batch_direct_021,succeeded,,
GTW-0022,ORD-EXACT-1021,178032,0,0,178032,batch_direct_022,succeeded,,
GTW-0023,ORD-EXACT-1022,815581,0,0,815581,batch_direct_023,succeeded,,
GTW-0024,ORD-EXACT-1023,122175,0,0,122175,batch_direct_024,succeeded,,
GTW-0025,ORD-EXACT-1024,413382,0,0,413382,batch_direct_025,succeeded,,
GTW-0026,ORD-EXACT-1025,391417,0,0,391417,batch_direct_026,succeeded,,
GTW-0027,ORD-EXACT-1026,648052,0,0,648052,batch_direct_027,succeeded,,
GTW-0028,ORD-EXACT-1027,60561,0,0,60561,batch_direct_028,succeeded,,
GTW-0029,ORD-EXACT-1028,496741,0,0,496741,batch_direct_029,succeeded,,
GTW-0030,ORD-EXACT-1029,145889,0,0,145889,batch_direct_030,succeeded,,
GTW-0031,ORD-EXACT-1030,97627,0,0,97627,batch_direct_031,succeeded,,
GTW-0032,ORD-EXACT-1031,322419,0,0,322419,batch_direct_032,succeeded,,
GTW-0033,ORD-EXACT-1032,663564,0,0,663564,batch_direct_033,succeeded,,
GTW-0034,ORD-EXACT-1033,620397,0,0,620397,batch_direct_034,succeeded,,
GTW-0035,ORD-EXACT-1034,753797,0,0,753797,batch_direct_035,succeeded,,
GTW-0036,ORD-EXACT-1035,63050,0,0,63050,batch_direct_036,succeeded,,
GTW-0037,ORD-EXACT-1036,253968,0,0,253968,batch_direct_037,succeeded,,
GTW-0038,ORD-EXACT-1037,318445,0,0,318445,batch_direct_038,succeeded,,
GTW-0039,ORD-EXACT-1038,259098,0,0,259098,batch_direct_039,succeeded,,
GTW-0040,ORD-EXACT-1039,413591,0,0,413591,batch_direct_040,succeeded,,
GTW-0041,ORD-EXACT-1040,490435,0,0,490435,batch_direct_041,succeeded,,
GTW-0042,ORD-EXACT-1041,397554,0,0,397554,batch_direct_042,succeeded,,
GTW-0043,ORD-EXACT-1042,403162,0,0,403162,batch_direct_043,succeeded,,
GTW-0044,ORD-EXACT-1043,234684,0,0,234684,batch_direct_044,succeeded,,
GTW-0045,ORD-EXACT-1044,294946,0,0,294946,batch_direct_045,succeeded,,
GTW-0046,ORD-EXACT-1045,731751,0,0,731751,batch_direct_046,succeeded,,
GTW-0047,ORD-EXACT-1046,89870,0,0,89870,batch_direct_047,succeeded,,
GTW-0048,ORD-EXACT-1047,680822,0,0,680822,batch_direct_048,succeeded,,
GTW-0049,ORD-EXACT-1048,575086,0,0,575086,batch_direct_049,succeeded,,
GTW-0050,ORD-EXACT-1049,271702,0,0,271702,batch_direct_050,succeeded,,
GTW-0051,ORD-STRIPE-4000,154002,4496,0,149506,po_stripe_5000,succeeded,,
GTW-0052,ORD-STRIPE-4001,262496,7642,0,254854,po_stripe_5001,succeeded,,
GTW-0053,ORD-STRIPE-4002,290713,8461,0,282252,po_stripe_5002,succeeded,,
GTW-0054,ORD-STRIPE-4003,387245,11260,0,375985,po_stripe_5003,succeeded,,
GTW-0055,ORD-STRIPE-4004,310100,9023,0,301077,po_stripe_5004,succeeded,,
GTW-0056,ORD-STRIPE-4005,135400,3957,0,131443,po_stripe_5005,succeeded,,
GTW-0057,ORD-STRIPE-4006,221416,6451,0,214965,po_stripe_5006,succeeded,,
GTW-0058,ORD-STRIPE-4007,57453,1696,0,55757,po_stripe_5007,succeeded,,
